R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.31496062992125984,0.3162291993432011,0.3164841775942296,0.0,-1.0,1.009415649778079,0.0035518466731140432, 0.0030028751226728882, 0.0028151792916023192, 0.0026731644098926563, 0.0025584830785563397, 0.0024368978270266762, 0.002315001524736616, 0.002226366489909265, 0.002132838033660696, 0.0020602710769749223,0.01805513019304479, 0.03611026038608959, 0.03611026038608957, 0.018055130193044784, 0.03611026038608957, 0.018055130193044795, 0.036110260386089575, 0.01805513019304479, 0.036110260386089575, 0.018055130193044795,0.0017980616084709634, 0.0018409348656830964, 0.0019113664321129416, 0.001998211278806215, 0.002107031592270013, 0.0022631562037832274, 0.0024918438914305536, 0.002877958048498092, 0.003590276253543725, 0.005076479177471195,1.5697091762563444, -0.15525254328956617, 0.15626385928832442, 0.1556075708109566, -0.1539702480840201, 0.07556922608296093, -0.23469982284463523, -0.2338975615242429, -0.0037572891048146895, 0.16591072411666713
0.40540540540540543,0.4071329077062445,0.39101809108533947,0.2222222222222222,-1.0,1.079337769889396,0.004845411127908721, 0.0030715224518351107, 0.0027817859730671817, 0.0025677782332968716, 0.0024055846292729654, 0.0022593093540518748, 0.0021334542504076143, 0.0020186210478561166, 0.0019250803660718226, 0.001859892338144143,0.020399952296037617, 0.020399952296037617, 0.040799904592075234, 0.040799904592075234, 0.020399952296037617, 0.020399952296037617, 0.040799904592075234, 0.020399952296037617, 0.02039995229603762, 0.040799904592075234,0.0017958730206529378, 0.0018915715264753823, 0.0020065024765848283, 0.002133859658392228, 0.002260786225316175, 0.002407158019186089, 0.0025619363801099543, 0.002731540195776614, 0.0029191148583623547, 0.003652601853279721,1.584866679857093, 0.20946559496175676, 0.20939340697246178, -0.08953417256255826, -0.1495982504693223, 0.029334148455734437, -0.3286523862300098, 0.09034941256221367, -0.32885973005310776, 0.0892920115459936
0.26720647773279355,0.26773309455874,0.49380281123440894,0.0,-1.0,1.0060132931200705,0.003508425802595168, 0.0025152038257580667, 0.0020174240662491636, 0.0017404237183710268, 0.0015715041861264606, 0.0014298727867470208, 0.0013146037028883802, 0.0012334096137938471, 0.0011531252819269166, 0.0010850086715639888,0.017356865489446375, 0.017356865489446368, 0.017356865489446368, 0.017356865489446368, 0.01735686548944637, 0.017356865489446375, 0.01735686548944637, 0.01735686548944637, 0.017356865489446382, 0.017356865489446375,0.002901403546035939, 0.0031636259894037076, 0.0034678658866278186, 0.0038138400778313366, 0.0041861706242813075, 0.004633818056743319, 0.005162462487575868, 0.005778046079615217, 0.0065082212629769196, 0.007386460931834618,1.5689930530331004, -0.047342389515787224, -0.7121681080461476, 0.4264505914479854, -0.0431474767923432, -0.4321022724190829, 0.054237804076875604, 0.32666192562772145, -0.042254998531890076, 0.230405718739083
0.336,0.3372071490325396,0.333097422995084,nan,-1.0,1.0180080616003542,0.005102934603471479, 0.003738310538749371, 0.0030811807957461176, 0.0026070549199439506, 0.002267839944185866, 0.002011272449009913, 0.0018136383669749344, 0.0016539346383474317, 0.001534007727578888, 0.0014113116467207698,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.001805221613758348, 0.0018834506122519133, 0.001990479693040922, 0.00211631463189523, 0.002252930846500815, 0.0023831129542654333, 0.002592113411936052, 0.002810186247800121, 0.0031716376363690674, 0.003889335269314592,1.5697817942336283, 0.14969416875440145, 0.001206298195586696, -0.07539795025663157, -0.22418426975388542, -0.0743309403180206, -0.3005383799252435, 0.3017234527803976, -0.22793897914222375, -0.07114842170465423
0.3442622950819672,0.34562826014564835,0.3320677256243577,0.0,-1.0,1.002473629210049,0.005134424304205727, 0.003752296129966997, 0.003166851638380946, 0.002782577439089607, 0.00248453226325594, 0.0022729297525973463, 0.0021183140898521436, 0.0019751480522123073, 0.0018531383140793958, 0.0017291423519514705,0.019634954084936214, 0.039269908169872414, 0.019634954084936207, 0.019634954084936207, 0.019634954084936207, 0.03926990816987243, 0.019634954084936207, 0.0392699081698724, 0.019634954084936207, 0.039269908169872414,0.0019663354228849714, 0.002072130793941402, 0.002180548501911024, 0.002301263408727791, 0.002454907638851464, 0.002620811845568016, 0.002758773689455151, 0.002934047372589643, 0.003130772940854363, 0.0034035924210790874,1.569760951708086, -0.07448085169161045, -0.0001681581259193951, -0.4485889737471967, -0.4485725319597186, -0.22403799677437106, -0.22503247349749658, -0.07486441664981262, -0.14892780857709947, -0.07549011408159567
0.5,0.5009319055216693,0.4790874126264885,nan,-1.0,1.014695062330309,0.00507164976176494, 0.0038849324822981066, 0.00324592041645264, 0.0028787402834506985, 0.002554829839759678, 0.0023148684254457592, 0.00209271013346486, 0.0018806024028143954, 0.0017882869457305143, 0.0016347042983217788,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.00136284257097621, 0.0014912123858554541, 0.001634833838607131, 0.001791162359397036, 0.0020296796611236644, 0.002252518844212663, 0.0025915356103829814, 0.003029037728201619, 0.0037565142187005567, 0.005212139560141669,1.5698426370526677, -0.23928330216827476, -0.1864512574529622, -0.026118874476386385, -0.4528315778102095, 0.24010774987905073, -0.08111208782706265, -0.23876507442301925, -0.025973500724627535, -0.2934414543341634
0.4474885844748858,0.4492375506908585,0.5313645449096057,0.0,-1.0,1.0134025113414116,0.0048730584696809595, 0.003323694160224763, 0.0027058011083484247, 0.002302270898739481, 0.0021329079186571194, 0.0019104223275584766, 0.0018193105795319068, 0.0016765333354984266, 0.0015453977247760317, 0.0013869517059701335,0.025963575649502423, 0.02596357564950242, 0.025963575649502423, 0.025963575649502423, 0.025963575649502423, 0.02596357564950242, 0.02596357564950242, 0.025963575649502423, 0.02596357564950242, 0.025963575649502427,0.0022515081848153147, 0.002350932304947221, 0.0024652568829912455, 0.002621182731775107, 0.002804385842796796, 0.0030186798182782176, 0.0033399074874758588, 0.003838008906491558, 0.004607061012534909, 0.005849101092130721,1.5694884612894895, -0.09580464309550453, -0.2226022299993674, -0.4150380832605417, -0.1582295032438704, 0.03357829179912389, -0.031778700484224036, 0.3517400502529341, -0.09863930500672971, 0.3497810040655265
0.4008810572687225,0.40170179265139566,0.4044918876953664,0.0,-1.0,1.0115248511422672,0.004426235374761452, 0.0033226250769119946, 0.002888350172584294, 0.0026477777597250785, 0.002517320806094344, 0.002365378874961098, 0.0022520027467730092, 0.002143660545084197, 0.002028720667439665, 0.0019236472881412586,0.04619989196455578, 0.046199891964555775, 0.04619989196455577, 0.023099945982277898, 0.02309994598227789, 0.023099945982277895, 0.023099945982277888, 0.023099945982277895, 0.023099945982277895, 0.04619989196455578,0.0015157408030699517, 0.0016711092865649762, 0.0017807626989081113, 0.0019318463569952613, 0.0022176463572529882, 0.0024825622271683052, 0.002814562410199776, 0.003362382422610058, 0.004050515339691025, 0.005089649507480858,1.5528120559768142, 0.03443243531166724, 0.1726458052104002, -0.37948257749238096, -0.034314305493201885, 0.10361945788164138, 0.10308956015209897, -0.10327331524471511, 0.03488347220923614, -0.03361384723510508
0.5276595744680851,0.5289118856699748,0.5841285092343759,nan,-1.0,1.0112029250543948,0.0051416297854833155, 0.003414299466336173, 0.002715308753025395, 0.0022954720342065926, 0.0019602161487080514, 0.00172930436240488, 0.0015597653843851685, 0.00139515811148468, 0.0012715021873138863, 0.001267756324816143,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0017664045497730852, 0.0019265934069410114, 0.0020541919622164362, 0.0022233164051221155, 0.0024273330777623693, 0.0027043247626593625, 0.0030383238958964004, 0.003477562865088674, 0.004077528290324577, 0.004909280626232364,1.5699347312124363, -0.10703113506944348, -0.04443233865188712, -0.10307808220596348, 0.044866742037361254, 0.058460983174606344, -0.25725405017626785, 0.09563048797971473, -0.19478670671042436, -0.005993969938747256
0.34841628959276016,0.348975256735189,0.5585698869657142,0.39999999999999997,-1.0,1.0037058227527125,0.003298619717896364, 0.002409045895806038, 0.0023600009993369644, 0.002094800103522523, 0.001962462078768771, 0.0016531676819737035, 0.001470816632233016, 0.0014024818712156885, 0.001453680475840388, 0.001234652166833714,0.04363323129985824, 0.04363323129985824, 0.04363323129985824, 0.04363323129985823, 0.04363323129985824, 0.04363323129985824, 0.02181661564992912, 0.0, 0.04363323129985824, 0.0,0.0034372346597113276, 0.003270381585945756, 0.0035080551918471974, 0.003836844079132972, 0.004084743226164646, 0.004381542260624229, 0.004658347800582671, 0.005126384790530725, 0.006243794708486812, 0.007218115990136231,1.5890155932593564, 0.037334429508208464, 0.12560468679050923, -0.6083186204512164, -0.046122843169020905, -0.11984069199329486, 0.452786863174139, 0.11556382997942696, -0.44755022091239616, 0.3715393052308916
