R_N,R_L,R_M,R_P,Lam_min,Lam_max,M_s1, M_s2, M_s3, M_s4, M_s5, M_s6, M_s7, M_s8, M_s9, M_s10,P_s1, P_s2, P_s3, P_s4, P_s5, P_s6, P_s7, P_s8, P_s9, P_s10,M_u1, M_u2, M_u3, M_u4, M_u5, M_u6, M_u7, M_u8, M_u9, M_u10,P_u1, P_u2, P_u3, P_u4, P_u5, P_u6, P_u7, P_u8, P_u9, P_u10
0.2835249042145594,0.284558575803128,0.36371778781374303,0.0,-1.0,1.0079912199003505,0.004393856447596106, 0.00343723230585418, 0.0028600105001686514, 0.0024078930475894727, 0.002060609295672798, 0.00179514963348027, 0.001571712255017782, 0.001382920579593944, 0.001207463893622911, 0.0010588468743634842,0.0, 0.0, 0.0, 0.0, 0.016799960714383923, 0.0, 0.0, 0.0, 0.0, 0.01679996071438392,0.002114624840527561, 0.002297367215556776, 0.0024624120496776983, 0.0026523905482035044, 0.00286942139451272, 0.0031334068095955677, 0.0034497219032388914, 0.003816500458656864, 0.004311543805626306, 0.004925925794630163,1.569311147473925, 0.21297063788362136, 0.04133898185069132, -0.8044783997262039, -0.12677118503665655, -0.04031459873459158, -0.12440512546326146, -0.3005413631737301, -0.4634244828906675, 0.040120012130473746
0.47368421052631576,0.4745679648267914,0.4706685632875113,nan,-1.0,1.016429412120943,0.004223826752351685, 0.003386560301461335, 0.0028545537574223173, 0.002499015715930382, 0.0021992672007487995, 0.0019540761628823507, 0.0017620696865064333, 0.0016074255339225247, 0.0014698829636142561, 0.0013347899796535428,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0012336590241326486, 0.0013417645948883366, 0.0014084923369772453, 0.0015477948765267983, 0.0017245823082468828, 0.0019639726139093995, 0.0023272027877362387, 0.0027640081229893896, 0.003518941524669738, 0.005180919101000681,1.5697950340135516, -0.2786745273010381, 0.17119829991606095, -0.026127897475935608, 0.27833660349958034, -0.12026257753281079, 0.12677847718924654, 0.02229241329623671, 0.1180791037288422, -0.07524264234552347
0.41228070175438597,0.4144060469468243,0.5368759593944572,0.0,-1.0,1.0070557523332093,0.004567922781324264, 0.0026377575113177964, 0.002239583764835714, 0.0019473006692967726, 0.0018556701856403584, 0.0017676093365182838, 0.001685631114652236, 0.0016248791076723139, 0.0015629037984907382, 0.001504782184816222,0.0, 0.0, 0.0, 0.023444721295446204, 0.0, 0.02344472129544622, 0.0, 0.023444721295446225, 0.0, 0.0,0.0021965790344050306, 0.002369160187517301, 0.0026209326978333786, 0.002819562661573532, 0.0031241936994599756, 0.003446438870371761, 0.003764701047132701, 0.0042592502145665425, 0.0049253217010151035, 0.005828497417589685,1.5699835802386293, -0.299209103469452, -0.4348943636104123, 0.23242713933024334, -0.16463705246178503, 0.16609652010336903, 0.16368027534058543, -0.16123452515813966, -0.031559470162139405, -0.04375336795338135
0.5539906103286385,0.5549700746239861,0.39239312490933614,0.0,-1.0,1.0228215105882126,0.008000498392649106, 0.00608643421449564, 0.004756953746407716, 0.003910858591205861, 0.0032555951344726535, 0.0028040536417929976, 0.002483586771321536, 0.002227770284149688, 0.002014413870837416, 0.0018414966494248015,0.03306939635357677, 0.03306939635357678, 0.03306939635357677, 0.03306939635357677, 0.03306939635357677, 0.033069396353576766, 0.03306939635357677, 0.03306939635357677, 0.03306939635357678, 0.033069396353576766,0.0009406495702762002, 0.0010749671981206484, 0.0012231001801319328, 0.0013885990976356395, 0.001604842221241345, 0.0018428551414134858, 0.0021417231165416304, 0.0025169103121161674, 0.0029869742499289953, 0.0037150216083342404,1.570207400311839, -0.2928940965394241, -0.1333583937533341, 0.39894714911617246, 0.026868800809488096, -0.34681032517336224, -0.07998086815441179, 0.02502274983464117, 0.13304040867527658, -0.08033055071862422
0.45982142857142855,0.4606099331291362,0.40179952689053283,0.9090909090909092,-1.0,1.0074300627066617,0.0057477623548065244, 0.004399880330412611, 0.0036493144207814135, 0.0031128014795255587, 0.0027422567144158626, 0.002494650174003802, 0.0022725483409875113, 0.0020890492195721937, 0.001891566279899571, 0.0017274661670198597,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025963575649502423,0.0012024643718885804, 0.0013021520914114312, 0.0014468049643960833, 0.0015870662513346036, 0.0018082368899451499, 0.0020707077623612884, 0.002454777492431539, 0.0029725422975984675, 0.00381980853915749, 0.00510772615383737,1.5854846493371086, 0.24473675144803703, -0.24440904313784795, -0.426617683107001, -0.1223155343469863, -0.06050125300065434, 0.06097553769615803, -0.42718421972014003, -0.4271234487196559, 0.0011023971482357051
0.3972602739726027,0.3977408651262465,0.48985187651183215,1.0,-1.0,1.006546661085858,0.004516019369514529, 0.003559132707504294, 0.002864589622397543, 0.002468755458205402, 0.0021295514478491375, 0.0018624589944070992, 0.0017075994756619523, 0.0015366990427425737, 0.001459376811320734, 0.0012866604249612689,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002234674278272089, 0.002398670942972597, 0.0025466839851606047, 0.002695690258085087, 0.0029607622483028397, 0.003149027733045583, 0.0033914375016310264, 0.0040373027876222005, 0.004700124442546628, 0.005963229023756762,1.5877083676488715, -0.07233605216538387, 0.14424057277625202, -0.28802330550125266, 0.21579197951125914, 0.07098546177762602, -0.2155704761071596, -0.4327929568353467, -0.2157678935380706, 0.4296833915830803
0.34649122807017546,0.3473546408989578,0.2895978954409253,1.0,-1.0,1.011174582893885,0.005915225305385435, 0.00427865580744992, 0.0034423438939876617, 0.0028904645845796713, 0.0024792602701354323, 0.0021974842914266085, 0.0020072189670885896, 0.0017545067559157084, 0.0015805554040383347, 0.0014180742048748606,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0013554222142650562, 0.0014254940604424915, 0.0015169654088235858, 0.0016732127984095233, 0.0017891248932006161, 0.0019440678271540894, 0.002156895906378218, 0.0024365846048547525, 0.0030040406073814623, 0.004198582941353403,1.590185894502999, 0.23872601156368803, -0.23802790804804927, -0.3180653269339168, -0.07963820085705077, 0.07914686756870015, 6.616337478074101e-06, -0.07953672081035115, 0.0007149479158088545, 0.31786517468250575
0.4311111111111111,0.4316206748773602,0.6300140049172447,nan,-1.0,1.007409008253589,0.002935325304592214, 0.0024304252695624114, 0.002123969976807193, 0.0019560239585734, 0.0016974814079890146, 0.0015776190741191203, 0.0013732182882245105, 0.0012365292239433965, 0.0011585863222566674, 0.0010786087212258503,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002672325482639187, 0.0028250168771854723, 0.002983405814784901, 0.0030721086866144554, 0.0033771983227045806, 0.0037364881751987497, 0.004192507004485561, 0.004639022013806633, 0.005359813807995506, 0.006616939838226773,1.5528019100518267, -0.06644150459839054, 0.06669114760052205, -0.12883462849580446, 0.19062105451671726, 0.0024649102238305633, 0.1312521891444749, 0.1252296747391619, -0.3191936325671593, 0.06313067271876971
0.4,0.4007375068133551,0.5269076254497761,nan,-1.0,1.00426208069999,0.004173568165517387, 0.0029443590161070763, 0.002376733696886462, 0.002017297916245034, 0.001840961922293849, 0.0016942783029298446, 0.0015540624501448705, 0.001546366840894743, 0.001507675875380004, 0.0014512488597459032,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.002312432879899092, 0.0024551280150586214, 0.0025908927925467357, 0.0028665826934659772, 0.0031381589893854545, 0.003461831469767753, 0.003840315931407983, 0.0043215307760583474, 0.004804772451182642, 0.0054695556562335355,1.569465312922209, -0.43408720924065497, -0.16656180342302926, 0.09915173736762294, -0.031933832317639806, 0.3672012500997651, -0.36756259049226425, 0.03452725082403108, -0.36956666402324917, 0.2358917705867083
0.3670886075949367,0.3677852925174424,0.4349494269820249,nan,-1.0,1.008689462468987,0.003910478248482444, 0.003264467752947624, 0.0027280045362706247, 0.0024286335929051867, 0.002249581473734225, 0.0020733719213591874, 0.001886519859999656, 0.0018144614631373064, 0.0016944919391599037, 0.0016179908301866218,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0019418477375497082, 0.00213813863549035, 0.002333268956914353, 0.002545723658182562, 0.002806728104164913, 0.0030773901480713097, 0.0034545777505830175, 0.0038414951366484078, 0.004322955943688667, 0.004949110963269537,1.551613923904643, -0.10806650343995668, -0.39648068774844814, 0.10765688669476611, -0.10795251161220747, 0.18036011967436721, -0.18111825396793413, -0.6842549576945914, -0.0378131732574735, 0.25468525867712155
